nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,gsin-code-status_en,gsin-code-status_fr,date-file-published
JX3610A,"[""VAN""]","Duplicating Equipment - Repair and Overhaul","Équipement de duplication - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX3610AA,"[""VAN""]","Photocopying Machines and Accessories - Repair","Machines à photocopier et accessoires - réparation",Active,Actif,"2023-02-27 22:50:03"
JX7830B,"[""VAN""]","Recreational Bowling Alleys - Repair","Divertissement, boulodrome - réparation",Active,Actif,"2023-02-27 22:50:03"
N3610BE,"[""VAN""]","Photocopying Machines and Accessories","Machines à photocopier et accessoires",Active,Actif,"2023-02-27 22:50:03"
N3610BEC,"[""VAN""]","Photocopier Control/Audit System","Machine à photocopier, système de commande et contrôle",Active,Actif,"2023-02-27 22:50:03"
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines à photocopier, duplicateur intelligent au laser",Active,Actif,"2023-02-27 22:50:03"
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines à photocopier, tout en couleur",Active,Actif,"2023-02-27 22:50:03"
N7025095,"[""VAN""]","PRINTERS PAGE COLOUR","Imprimante page par page couleur",Active,Actif,"2023-02-27 22:50:03"
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser",Active,Actif,"2023-02-27 22:50:03"
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, à bande, à chaîne, à tambour, à train, etc.",Active,Actif,"2023-02-27 22:50:03"
N7025102,"[""VAN""]","PRINTERS, IMPACT DOT MATRIX","Imprimantes, par point impact",Active,Actif,"2023-02-27 22:50:03"
N7025104,"[""VAN""]","PRINTERS, INK JET","Imprimantes, à jet d'encre",Active,Actif,"2023-02-27 22:50:03"
N7025105,"[""VAN""]","PRINTERS INK JET COLOUR","Imprimante couleur à jet d'encre",Active,Actif,"2023-02-27 22:50:03"
N7025090,"[""VAN""]","PRINTERS, BAR CODE","Imprimantes, code à barres",Active,Actif,"2023-02-27 22:50:03"
N7025130,"[""VAN""]","PLOTTERS, ON LINE","Traceurs, en circuit",Active,Actif,"2023-02-27 22:50:03"
N7025134,"[""VAN""]","Scanners, Document","Scanneurs, document",Active,Actif,"2023-02-27 22:50:03"
N7035190,"[""VAN""]","PLOTTERS (STAND ALONE)","Traceurs autonomes",Active,Actif,"2023-02-27 22:50:03"
N7045126,"[""VAN""]","Toner, Cartridge, Virgin, for various types of Printers and Facsimile Machines","Cartouche de toner neuve, pour divers types d'imprimantes et de télécopieurs",Active,Actif,"2023-02-27 22:50:03"
N7045127,"[""VAN""]","Toner, Cartridge, Remanufactured, for various types of Printers and Facsimile Machines","Cartouche de toner remise à neuf, pour divers types d'imprimantes et de télécopieurs",Active,Actif,"2023-02-27 22:50:03"
WL3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING","Équipement d'impression, de duplication et de reliure - location",Active,Actif,"2023-02-27 22:50:03"
WL3610AA,"[""VAN""]","PHOTOCOPYING MACHINES - LEASE","Machines à photocopier - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AB,"[""VAN""]","Photocopying Machines, N.E.S. - Lease","Machines à photocopier - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AD,"[""VAN""]","PHOTOCOPYING MACHINES, LIBRARY BOOK - LEASE","Machines à photocopieur, reproduction de livres de bibliothèque - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AE,"[""VAN""]","PHOTOCOPYING MACHINES, ENGINEERING - LEASE","Machines à photocopier, ingénierie - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610AF,"[""VAN""]","PHOTOCOPYING MACHINES, LASER, INTELLIGENT COPIER - LEASE","Machines à photocopier, duplicateur intelligent au laser - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610B,"[""VAN""]","PHOTOCOPYING MACHINES, FULL COLOUR - LEASE","Machines à photocopier, tout en couleur - location à bail",Active,Actif,"2023-02-27 22:50:03"
WL3610C,"[""VAN""]","Digital Photocopiers, Printers and Multifunctional Devices (MFDs) - Lease","Photocopieurs numériques, imprimantes et appareils multifonctionnels (AMF) - Location",Active,Actif,"2023-02-27 22:50:03"
WL7025AJ,"[""VAN""]","PRINTERS, PAGE, LASER - LEASE","Imprimantes page par page à laser - location à bail",Active,Actif,"2023-02-27 22:50:03"
WR3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT - RENTAL","Équipement d'impression, de duplication et de reliure - location",Active,Actif,"2023-02-27 22:50:03"
WR3610A,"[""VAN""]","COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL","Duplicateur, procédé diazo (imprimante sur blanc) - location",Active,Actif,"2023-02-27 22:50:03"
WR3610AA,"[""VAN""]","PHOTOCOPYING MACHINES AND ACCESSORIES - RENTAL","Machines et accessoires à photocopie - location",Active,Actif,"2023-02-27 22:50:03"
WR3610AB,"[""VAN""]","Photocopying Machine, N.E.S. - Rent","Machines à photocopier, location",Active,Actif,"2023-02-27 22:50:03"
WR3610AC,"[""VAN""]","PHOTOCOPIER CONTROL/AUDIT SYSTEM - RENT","Machine à photocopier, système de commande et contrôle - location",Active,Actif,"2023-02-27 22:50:03"
WR7025B,"[""VAN""]","PRINTERS, PAGE, OTHER (ION, ELECTROSTATIC, ETC.) - RENT","Imprimantes page par page, autres, ioniques, électrostatiques, etc. - location",Active,Actif,"2023-02-27 22:50:03"
WR7035AN,"[""VAN""]","PLOTTERS (STAND ALONE) - RENT","Traceurs autonomes - location",Active,Actif,"2023-02-27 22:50:03"
R122C,"[""VAN""]","Managed Print Services","Service de gestion de l'impression - Consultation",Active,Actif,"2023-02-27 22:50:03"
JX5810,"[""QD""]","Communications Security Equipment and Components - Repair","Équipement de sécurité des télécommunications et composants - réparation",Active,Actif,"2023-02-27 22:50:03"
JX5811,"[""QD""]","Other Cryptologic Equipment and Components - Repair","Autres équipements cryptographiques et composants - réparation",Active,Actif,"2023-02-27 22:50:03"
N1830999,"[""QD""]","Space Vehicle Remote Control Systems Electrical and Electronic Components and Spares","Systèmes commande à distance des véhicules spatiaux, composants rechanges électriques et électroniques",Active,Actif,"2023-02-27 22:50:03"
N5805039,"[""QD""]","Telephone Central Offices, Dial, Manufacture to Drawings","Centrales téléphoniques, automatiques, fabrication conforme aux plans",Active,Actif,"2023-02-27 22:50:03"
N5805050,"[""QD""]","Telephone System, Transportable","Système téléphonique transportable",Active,Actif,"2023-02-27 22:50:03"
N5805051,"[""QD""]","Telephone Systems, Sound Powered","Systèmes téléphoniques, autogénérateurs",Active,Actif,"2023-02-27 22:50:03"
N5805060,"[""QD""]","Telephone System, Transportable, Voice/Data Channel Multiplexers, Low Capacity","Système téléphonique transportable, multiplexeurs des voies téléphoniques/de données, faible capacité",Active,Actif,"2023-02-27 22:50:03"
N5805993,"[""QD""]","Repeater Telegraph Electrical and Electronic Components and Spares","Répéteur télégraphique, composants et rechanges électriques et électroniques",Active,Actif,"2023-02-27 22:50:03"
N5805998,"[""QD""]","Telephone and Telegraph Tactical, Operational and Special Application Systems, Including Ground and Ship Communication Systems and Systems Installation","Systèmes téléphonique et télégraphique, tactiques, opérationnels et spéciaux, comprenant les systèmes de communication terre/mer et installation des systèmes",Active,Actif,"2023-02-27 22:50:03"
N5805098,"[""QD""]","Switching Systems, Special Design","Systèmes de commutation, modèle spécial",Active,Actif,"2023-02-27 22:50:03"
N5805118,"[""QD""]","Terminals, Telephone and Telegraph Equipment, Special Design","Terminaux, équipements téléphonique et télégraphique, modèle spécial",Active,Actif,"2023-02-27 22:50:03"
N5805119,"[""QD""]","Terminals, Telephone Telegraph Equipment Miscellaneous","Terminaux, équipements téléphonique et télégraphique, divers",Active,Actif,"2023-02-27 22:50:03"
N5895010,"[""QD""]","Communication Systems, Radio, Except Armoured Fighting Vehicles and Aircraft","Systèmes de télécommunications, radio, sauf véhicules blindés de combat et aéronefs",Active,Actif,"2023-02-27 22:50:03"
WL5810,"[""QD""]","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS - LEASING","Équipement de sécurité des télécommunications et composants - location à bail",Active,Actif,"2023-02-27 22:50:03"
WR5810,"[""QD""]","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS - RENTAL","Équipement de sécurité des télécommunications et composants - location",Active,Actif,"2023-02-27 22:50:03"
R007A,"[""QD""]","System Engineering Services","Services de génie des systèmes",Active,Actif,"2023-02-27 22:50:03"
K105AB,"[""LS""]","Armoured Car Service","Services de véhicule blindé",Active,Actif,"2023-02-27 22:50:03"
R103A,"[""LS""]","Courier Service","Service de messagerie",Active,Actif,"2023-02-27 22:50:03"
V001A,"[""LS""]","Freight and Cargo Services","Services de fret et de cargo",Active,Actif,"2023-02-27 22:50:03"
V001AA,"[""LM""]","Freight and Cargo Services, Including Marshalling, Packaging, Crating and Storage and Forwarding Services","Services de transport et chargement, incluant triage, conditionnement, emballage et services d'entreposage et d'expédition",Active,Actif,"2023-02-27 22:50:03"
V002A,"[""LM""]",Rail,Train,Active,Actif,"2023-02-27 22:50:03"
V005A,"[""LS""]","Motor Passengers, Mail and Merchandise Transportation Service","Transport routier de voyageurs, de courrier et de marchandise",Active,Actif,"2023-02-27 22:50:03"
V200A,"[""LM""]",Air,Avion,Active,Actif,"2023-02-27 22:50:03"
V200B,"[""LM""]","Air Transportation","Transport par avion",Active,Actif,"2023-02-27 22:50:03"
V100B,"[""LS""]","Water Transportation","Transport par bateau",Active,Actif,"2023-02-27 22:50:03"
V401B,"[""LS""]",Transportation,Transport,Active,Actif,"2023-02-27 22:50:03"
V505A,"[""LS""]","Storage and Warehousing","Stockage et entreposage",Active,Actif,"2023-02-27 22:50:03"
V505B,"[""LS""]","Packaging and Crating","Emballage et mise en caisse",Active,Actif,"2023-02-27 22:50:03"
V401I,"[""LS""]","Transportation Services, Not Elsewhere Specified","Services de transport, non énumérés ailleurs",Active,Actif,"2023-02-27 22:50:03"
V401IB,"[""LS""]","Vehicle Towing Services","Services de remorquage de véhicules",Active,Actif,"2023-02-27 22:50:03"
V401IC,"[""LM""]","Transportation Service - Armoured Vehicles","Services de transport - véhicules blindés",Active,Actif,"2023-02-27 22:50:03"
V401J,"[""LS""]","Transportation and Charters","Transport et affrètements",Active,Actif,"2023-02-27 22:50:03"
JD1005,"[""BM""]","Guns, Through 30mm - Production Design","Canons, jusqu'à 30 mm - dessin de production",Active,Actif,"2023-02-27 22:50:03"
JD1270,"[""BM""]","Aircraft Gunnery Fire Control Components - Production Design","Éléments de conduite de tir pour armes de bord d'aéronefs - dessin de production",Active,Actif,"2023-02-27 22:50:03"
JD1340,"[""BM""]","ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS - PRODUCTION DESIGN","Roquettes et composants pyrotechniques de roquettes - dessin de production",Active,Actif,"2023-02-27 22:50:03"
JX1005A,"[""BM""]","Small Arms and Accessories (Military) - Repair & Overhaul","Armes portatives et accessoires, militaires - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX1015,"[""BM""]","Guns, 75MM Through 125MM - Repair","Canons, de 75 mm jusqu'à 125 mm - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1025,"[""BM""]","Guns, Over 150MM Through 200MM - Repair","Canons, de plus de 150 mm jusqu'à 200 mm - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1035,"[""BM""]","Guns, Over 300MM - Repair","Canons, de plus de 300 mm - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1055,"[""BM""]","Launchers, Rockets and Pyrotechnic - Repair","Appareils de lancement pour engins pyrotechniques et roquettes - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1095,"[""BM""]","Miscellaneous Weapons - Repair","Armes diverses - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1340,"[""BM""]","Rockets, Rocket Ammunition and Rocket Components - Repair","Roquettes et composants pyrotechniques de roquettes - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1005,"[""BM""]","Guns, Through 30MM - Repair","Canons, jusqu'à 30 mm - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1355,"[""BM""]","Torpedo and Components, Inert - Repair","Torpilles et composants, inertes - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1377,"[""BM""]","Cartridge and Propellant Actuated Devices and Components - Repair","Dispositifs actionnés par cartouches ou par agents propulsifs et composants - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1410,"[""BM""]","Guided Missiles - Repair","Missiles - réparation",Active,Actif,"2023-02-27 22:50:03"
JX1427,"[""BM""]","Guided Missile Sub-Systems - Repair","Composants de systèmes de missiles - réparation",Active,Actif,"2023-02-27 22:50:03"
JX4931,"[""BM""]","Fire Control Maintenance and Repair Shop Specialized Equipment - Repair","Équipement spécialisé pour ateliers d'entretien et de réparations d'appareils de conduite de tir - réparation",Active,Actif,"2023-02-27 22:50:03"
JX6920,"[""BM""]","Armament Training Devices - Repair","Appareils d'instruction et d'entraînement concernant l'armement - réparation",Active,Actif,"2023-02-27 22:50:03"
N1010,"[""BM""]","Guns, over 30 mm up to 75 mm, unless installed in a vehicle, aircraft, or ship","Canons, de plus de 30 mm jusqu'à 75 mm",Active,Actif,"2023-02-27 22:50:03"
N1015,"[""BM""]","Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship","Canons, de 75 mm jusqu'à 125 mm",Active,Actif,"2023-02-27 22:50:03"
N1015A,"[""BM""]","Guns, 75 mm Through 125 mm and Accessories","Canons, de 75 mm jusqu'à 125 mm et accessoires",Active,Actif,"2023-02-27 22:50:03"
N1020,"[""BM""]","Guns, over 125 mm through 150 mm unless installed in a vehicle, aircraft, ship","Canons, de plus de 125 mm jusqu'à 150 mm",Active,Actif,"2023-02-27 22:50:03"
N1025,"[""BM""]","Guns, over 150 mm through 200 unless installed in a vehicle, aircraft, ship","Canons, de plus de 150 mm jusqu'à 200 mm",Active,Actif,"2023-02-27 22:50:03"
N1030,"[""BM""]","Guns, over 200 mm through 300 mm","Canons, de plus de 200 mm jusqu'à 300 mm",Active,Actif,"2023-02-27 22:50:03"
N1035,"[""BM""]","Guns, over 300 mm","Canons, de plus de 300 mm",Active,Actif,"2023-02-27 22:50:03"
N1040,"[""BM""]","Chemical Weapons and Equipment, Flame Throwers, and Smoke Generators","Armes chimiques et équipement",Active,Actif,"2023-02-27 22:50:03"
N1045,"[""BM""]","Launchers, Torpedo and Depth Charges, Unless Installed in a Vehicle, Aircraft, Ship","Appareils de lancement de torpilles et grenades sous-marines",Active,Actif,"2023-02-27 22:50:03"
N1005,"[""BM""]","Guns, through 30 mm, unless installed in a vehicle, aircraft, ship","Canons, jusqu'à 30 mm",Active,Actif,"2023-02-27 22:50:03"
N1005A,"[""BM""]","Small Arms and Accessories (Law Enforcement)","Armes portatives et accessoires, mise en vigueur de la loi",Active,Actif,"2023-02-27 22:50:03"
N1055,"[""BM""]","Launchers, Grenade, Rocket and Pyrotechnic","Appareils de lancement de grenades, roquettes et artifices",Active,Actif,"2023-02-27 22:50:03"
N1080,"[""BM""]","Camouflage and Deception Equipment","Équipement de camouflage et simulation",Active,Actif,"2023-02-27 22:50:03"
N1090,"[""BM""]","Assemblies Interchangeable Between Weapons in Two or More Classes","Ensembles communs à des armes de plusieurs classes",Active,Actif,"2023-02-27 22:50:03"
N1095,"[""BM""]","Miscellaneous Weapons","Armes diverses",Active,Actif,"2023-02-27 22:50:03"
N1210,"[""BM""]","Fire Control Directors","Appareils directeurs de conduite de tir",Active,Actif,"2023-02-27 22:50:03"
N1270,"[""BM""]","Aircraft Gunnery Fire Control Components","Éléments de conduite de tir pour armes de bord d'aéronefs",Active,Actif,"2023-02-27 22:50:03"
N1440,"[""BM""]","Launchers, Guided Missile",Lance-missiles,Active,Actif,"2023-02-27 22:50:03"
N4931,"[""BM""]","Fire Control Maintenance and Repair Shop Specialized Equipment, Unless Installed in a Vehicle, Aircraft, or Ship","Équipement spécialisé pour ateliers d'entretien et de réparations d'appareils de conduite de tir",Active,Actif,"2023-02-27 22:50:03"
N4933,"[""BM""]","Weapons Maintenance and Repair Shop Specialized Equipment, Excludes Airborne Weapons Maintenance and Repair Shop Equipment","Équipement spécialisé pour ateliers d'entretien et de réparations d'armes",Active,Actif,"2023-02-27 22:50:03"
N5342,"[""BM""]","Hardware, Weapon System Refer to Parent Weapon System. Anodes used on Navy Ships belong to HN Division","Quincaillerie, système d'armes",Active,Actif,"2023-02-27 22:50:03"
N6910B,"[""BM""]","Training Aids, (applicable to military vehicles except aircraft and electronics) Cutaway mock-up, or sectionalised ammunition and small arms weapons only","Accessoires d'instruction, pour véhicules militaires sauf aéronefs et électroniques",Active,Actif,"2023-02-27 22:50:03"
N6920AD,"[""BM""]","TARGETS, N.E.S.","Cibles (N.E.A.)",Active,Actif,"2023-02-27 22:50:03"
N6920D,"[""BM""]","INDIRECT FIRE WEAPON SIMULATORS","Simulateurs d'armes à tir indirect",Active,Actif,"2023-02-27 22:50:03"
N6920,"[""BM""]","Armament Training Devices, Refer to Parent Weapon System","Appareils d'instruction et d'entraînement concernant l'armement",Active,Actif,"2023-02-27 22:50:03"
N6920300,"[""BM""]","ARMAMENT TRAINING DEVICES, ELECTRONIC, GUNNERY TARGETS","Appareils d'instruction et d'entraînement concernant l'armement, électroniques, cibles de tir",Active,Actif,"2023-02-27 22:50:03"
N6920999,"[""BM""]","ARMAMENT TRAINING DEVICES, ELECTRONIC, ACCESSORIES AND SPARES","Appareils d'instruction et d'entraînement concernant l'armement, électroniques, accessoires et rechanges",Active,Actif,"2023-02-27 22:50:03"
R006AC,"[""BM""]","Technical Writing Services, Armament Related Publications","Services de rédaction technique, publications reliées à l'armement",Active,Actif,"2023-02-27 22:50:03"
WL1440,"[""BM""]","LAUNCHERS, GUIDED MISSILE - LEASING","Lance-missiles - location à bail",Active,Actif,"2023-02-27 22:50:03"
U099BC,"[""BM""]","Firearm Training","Formation sur le maniement des armes à feu",Active,Actif,"2023-02-27 22:50:03"
AA415500,"[""SL""]","Fisheries (R&D)","Pêches (R&D)",Active,Actif,"2023-02-27 22:50:03"
AA910300,"[""SL""]","Agriculture (R&D)","Agriculture (R&D)",Active,Actif,"2023-02-27 22:50:03"
AE913500,"[""SL""]","Economics (R&D)","Sciences économiques (R&D)",Active,Actif,"2023-02-27 22:50:03"
AH215020,"[""SL""]","Air Quality (Research)","Qualité de l'air (Recherche)",Active,Actif,"2023-02-27 22:50:03"
AH215024,"[""SL""]","Atmospheric Pollutants (Research)","Polluants atmosphériques (Recherche)",Active,Actif,"2023-02-27 22:50:03"
AH910222,"[""SL""]","Environmental Impact Study (R&D)","Étude de l'impact environnemental (R&D)",Active,Actif,"2023-02-27 22:50:03"
AJ110224,"[""SL""]","Ergonomic Study (R&D)","Étude ergonomique (R&D)",Active,Actif,"2023-02-27 22:50:03"
AJ110700,"[""SL""]","Biology (R&D)","Biologie (R&D)",Active,Actif,"2023-02-27 22:50:03"
AH115032,"[""SL""]","Environmental Assessment (R&D)","Évaluation de milieu (R&D)",Active,Actif,"2023-02-27 22:50:03"
AH115036,"[""SL""]","Environmental Standards (Research)","Normes environnementales (Recherche)",Active,Actif,"2023-02-27 22:50:03"
AH215000,"[""SL""]","Environmental Sciences: Air, Water Pollution and other (R&D)","Sciences environnementales: Pollution atmosphérique, des eaux et autres (R&D)",Active,Actif,"2023-02-27 22:50:03"
AJ111000,"[""SL""]","Chemistry (R&D)","Chimie (R&D)",Active,Actif,"2023-02-27 22:50:03"
AJ311500,"[""SL""]","Climatology (R&D)","Climatologie (R&D)",Active,Actif,"2023-02-27 22:50:03"
AJ716500,"[""SL""]","Humanities and Social Sciences (R&D)","Sciences humaines et sociales (R&D)",Active,Actif,"2023-02-27 22:50:03"
AN117500,"[""SL""]","Medical (R&D)","Médical (R&D)",Active,Actif,"2023-02-27 22:50:03"
AN417668,"[""SL""]","Vaccines (R&D)","Vaccins (R&D)",Active,Actif,"2023-02-27 22:50:03"
AP518500,"[""SL""]","Oceanography (R&D)","Océanographie (R&D)",Active,Actif,"2023-02-27 22:50:03"
AS918564,"[""SL""]","Remote Control Submersible Vehicle (R&D)","Véhicule submersible à télécommande (R&D)",Active,Actif,"2023-02-27 22:50:03"
AT419628,"[""SL""]","Road Vehicle Safety (Research)","Sécurité des véhicules automobiles (Recherche)",Active,Actif,"2023-02-27 22:50:03"
AT619624,"[""SL""]","Road Vehicle Regulations (Research)","Règlement sur les véhicules automobiles (Recherche)",Active,Actif,"2023-02-27 22:50:03"
AT919500,"[""SL""]","Transportation (R&D)","Transports (R&D)",Active,Actif,"2023-02-27 22:50:03"
AZ110134,"[""SL""]","Equipment/Machinery-Design, Development, Modification: Science and Technology Related (R&D)","Équipement, machines-conception, mise au point, modification, Science et Technologie (R&D)",Active,Actif,"2023-02-27 22:50:03"
B103A,"[""SL""]","Water Quality Studies","Études sur la qualité de l'eau",Active,Actif,"2023-02-27 22:50:03"
B002A,"[""SL""]","Animal and Fisheries Studies","Études d'animaux et d'aquaculture",Active,Actif,"2023-02-27 22:50:03"
AJ716650,"[""SL""]","Historical Research (R&D)","Recherche historique (R&D)",Active,Actif,"2023-02-27 22:50:03"
N7490QC,"[""HAL""]","MAILING MACHINE, ELECTRIC","Machine à cacheter électrique",Active,Actif,"2023-02-27 22:50:03"
N7490T,"[""HAL""]","POSTAGE METER","Machine à affranchir",Active,Actif,"2023-02-27 22:50:03"
JD1520,"[""BB""]","AIRCRAFT, ROTARY WING - PRODUCTION DESIGN","Aéronefs - voilure tournante - dessin de production",Active,Actif,"2023-02-27 22:50:03"
JI6610,"[""BB""]","Flight Instruments - Installation","Instruments de contrôle de vol - installation",Active,Actif,"2023-02-27 22:50:03"
JX1510A,"[""BB""]","Aircraft, Fixed Wing - Repair and Overhaul (Military)","Aéronef, aile fixe, militaires - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX1680C,"[""BB""]","Repainting and Refinishing, Aircraft Components","Repeinturage et refinissage, composants d'aéronef",Active,Actif,"2023-02-27 22:50:03"
N1520,"[""BF""]","Aircraft, Rotary Wing","Aéronefs - voilure tournante",Active,Actif,"2023-02-27 22:50:03"
N1520B,"[""BF""]","Helicopters (Military)","Hélicoptères (militaires)",Active,Actif,"2023-02-27 22:50:03"
N1540,"[""BB""]",Gliders,Planeurs,Active,Actif,"2023-02-27 22:50:03"
N1680999,"[""BY""]","Miscellaneous Aircraft Electrical and Electronic Components and Spares","Aéronef divers, composants et rechanges électriques et électroniques",Active,Actif,"2023-02-27 22:50:03"
N1680J,"[""BB""]","Seats, Aircraft Ejection","Sièges éjectables d'aéronef",Active,Actif,"2023-02-27 22:50:03"
N6115A,"[""BB""]","Generators and Generator Sets, Electrical (Auxiliary Aircraft Generators Only)","Générateurs électriques et groupes électrogènes, générateurs auxiliaires seulement, aéronef",Active,Actif,"2023-02-27 22:50:03"
N6340,"[""BB""]","Aircraft Alarm and Signal Systems","Systèmes d'alarme et de signalisation, d'aéronefs",Active,Actif,"2023-02-27 22:50:03"
N6610,"[""BB""]","Flight Instruments","Instruments de contrôle de vol",Active,Actif,"2023-02-27 22:50:03"
N6615,"[""BB""]","Automatic Pilot Mechanisms and Airborne Gyro Components","Mécanismes de pilotes automatiques et composants gyroscopiques pour aéronefs",Active,Actif,"2023-02-27 22:50:03"
U099BE,"[""BB""]","Airborne Combat Support Training - Fighter and Trainer Aircraft only","Formation de soutien au combat aéroporté - Avion de chasse et d'entraînement seulement",Active,Actif,"2023-02-27 22:50:03"
JI1660,"[""BQ""]","AIRCRAFT AIR CONDITIONING, HEATING AND PRESSURIZING EQUIPMENT - INSTALLATION","Équipement de climatisation, de chauffage et de pressurisation d'aéronef - installation",Active,Actif,"2023-02-27 22:50:03"
JI5895,"[""BQ""]","Aircraft (Military) Miscellaneous Communications Equipment - Installation","Équipements divers de télécommunications d'aéronefs (militaires) - installation",Active,Actif,"2023-02-27 22:50:03"
JI5805,"[""BQ""]","Aircraft (Military) Telephone and Telegraph Equipment - Installation","Équipement téléphonique et télégraphique d'aéronefs (militaires) - installation",Active,Actif,"2023-02-27 22:50:03"
JX2840A,"[""BQ""]","Gas Turbines and Jet Engines, Aircraft, and Components - Repair and Overhaul (Military)","Turbines à gaz et moteurs à réaction, aéronefs et composants, militaire - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX5821,"[""BQ""]","Aircraft (Military) Radio and Television Communications Equipment - Repair and Overhaul","Équipement de communication par radio et par télévision pour aéronef (militaires) - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX5825,"[""QF""]","Radio Navigation Equipment (Military), Except Airborne - Repair and Overhaul","Équipement de radionavigation (militaires), sauf aéronefs - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX5840,"[""QF""]","Radar Equipment (Military), except Airborne - Repair and Overhaul","Équipement de radar (militaires), sauf aéronef - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX5841,"[""BQ""]","Aircraft (Military) Radar Equipment - Repair and Overhaul","Équipement radar, pour aéronef (militaires) - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX5895,"[""BQ""]","Aircraft (Military) Miscellaneous Communications Equipment - Repair and Overhaul","Équipements divers de télécommunications pour aéronef (militaires) - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX6910A,"[""BQ""]","Training Aids, Aircraft (except Electrical and Electronic) - Repair and Overhaul","Accessoires d'instruction, aéronefs sauf électrique et électronique - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX6930A,"[""BQ""]","Operational Training Devices, Aeronautical - Repair and Overhaul","Appareils d'instruction et d'entraînement opérationnels, aéronautique - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
R114A,"[""BQ""]","Logistics Support Services Military Aerospace Related","Services de soutien logistique (transport et défense)",Active,Actif,"2023-02-27 22:50:03"
JX6605,"[""BQ""]","Aircraft (Military) Navigational Instruments - Repair and Overhaul","Instruments de navigation pour aéronefs (militaires) - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
V200C,"[""LP""]","Air Transportation - Business Travel","Transport aérien - voyage d'affaires",Active,Actif,"2023-02-27 22:50:03"
V202A,"[""LP""]","Passenger Service","Service de passagers",Active,Actif,"2023-02-27 22:50:03"
V401C,"[""LP""]","Bus Services","Services d'autobus",Active,Actif,"2023-02-27 22:50:03"
V401CA,"[""LP""]","Bus Passenger Service","Service de transport par autobus",Active,Actif,"2023-02-27 22:50:03"
WR2310,"[""LP""]","PASSENGER MOTOR VEHICLES - RENTAL","Véhicules à moteur de tourisme - location",Active,Actif,"2023-02-27 22:50:03"
V502B,"[""LP""]","Hotels, Motels and Commercial Accommodation","Hôtels, motels et logements commerciaux",Active,Actif,"2023-02-27 22:50:03"
V502BA,"[""LP""]","Hotels, Motels and Boarding Houses","Hôtels, motels et pensions",Active,Actif,"2023-02-27 22:50:03"
C219BJ,"[""BL""]","Engineering and Technical Services - Combat Vehicles Related","Services d'ingénierie et techniques relatifs aux véhicules de combat",Active,Actif,"2023-02-27 22:50:03"
JX2305,"[""HS""]","Ground Effect Vehicles - Repair","Véhicules à effet de sol - réparation",Active,Actif,"2023-02-27 22:50:03"
JX2305A,"[""HS""]","Ground Effect Vehicles (Civilian) - Repair and Overhaul","Véhicules à effet de sol, civils - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
JX2305B,"[""BL""]","Ground Effect Vehicles (Military) - Repair and Overhaul","Véhicules à effet de sol, militaire - réparation et révision",Active,Actif,"2023-02-27 22:50:03"
